1580232826.496,0.52,1.1096,0.66,0.9366,1
1580232826.667,0.55,1.0696,0.63,0.9404,1
1580232826.843,0.51,1.1007,0.7,0.917,1
1580232827.015,0.5,1.1125,0.69,0.9378,1
1580232827.184,0.54,1.0686,0.64,0.9474,1
1580232827.353,0.52,1.0614,0.67,0.9306,1
1580232827.552,0.52,1.0885,0.67,0.9278,1
1580232827.725,0.55,1.0361,0.68,0.922,1
1580232827.894,0.56,1.0442,0.68,0.8901,1
1580232828.078,0.56,1.049,0.65,0.9282,1
1580232828.267,0.53,1.0647,0.62,0.9664,1
1580232828.436,0.54,1.0362,0.65,0.9349,1
1580232828.603,0.55,1.0235,0.69,0.8882,1
1580232828.78,0.55,1.0376,0.68,0.8867,1
1580232828.953,0.55,1.0545,0.68,0.934,1
1580232829.128,0.53,1.056,0.72,0.8585,1
1580232829.298,0.55,1.0349,0.67,0.8642,1
1580232829.467,0.53,1.0768,0.61,0.9541,1
1580232829.648,0.56,1.0459,0.6,0.9844,1
1580232829.819,0.54,1.0406,0.66,0.9032,1
1580232829.988,0.54,1.0531,0.66,0.8965,1
1580232830.157,0.54,1.0742,0.69,0.905,1
1580232830.325,0.58,0.9999,0.66,0.9736,1
1580232830.495,0.54,1.0573,0.65,0.9134,1
1580232830.689,0.54,1.0278,0.68,0.859,1
1580232830.858,0.55,1.0347,0.7,0.8503,1
1580232831.027,0.58,0.9904,0.71,0.8933,1
1580232831.196,0.58,1.0052,0.67,0.9251,1
1580232831.364,0.57,1.0166,0.69,0.8848,1
1580232831.533,0.56,1.0144,0.67,0.8763,1
1580232831.732,0.55,1.0322,0.71,0.8782,1
1580232831.899,0.59,0.9491,0.67,0.9044,1
1580232832.068,0.57,1.0018,0.68,0.8873,1
1580232832.238,0.58,0.9671,0.71,0.8462,1
1580232832.405,0.56,1.0155,0.71,0.8388,1
1580232832.573,0.59,0.9641,0.71,0.873,1
1580232832.75,0.56,1.003,0.68,0.8817,1
1580232832.782,0.59,0.9458,0.71,0.8551,1
1580232832.952,0.55,1.0173,0.72,0.8272,2
1580232833.12,0.58,1.0162,0.73,0.817,2
1580232833.289,0.59,0.9809,0.69,0.8463,2
1580232833.457,0.56,1.0163,0.69,0.8388,2
1580232833.626,0.57,1.0126,0.67,0.8376,2
1580232833.797,0.58,0.9816,0.69,0.8606,2
1580232833.964,0.56,0.9777,0.62,0.9239,2
1580232834.134,0.56,1.0027,0.64,0.897,2
1580232834.308,0.55,1.0189,0.69,0.8308,2
1580232834.477,0.59,0.9865,0.68,0.8312,2
1580232834.649,0.54,1.0306,0.7,0.8999,2
1580232834.822,0.55,1.025,0.67,0.8799,2
1580232834.992,0.56,1.0244,0.66,0.8486,2
1580232835.16,0.58,1.0041,0.69,0.8425,2
1580232835.33,0.6,0.9751,0.71,0.8674,2
1580232835.499,0.57,0.9998,0.64,0.9218,2
